120 240
1 :7.15231788079470210  240 :3.75316629535813462  
14451 :1.83935056611835068  14690 :6.16840113528855216  14449 :4.07452620014038480  14210 :5.11368144779808986  
14452 :0.41352580339976197  14691 :6.19006927701651044  14450 :8.04651020844142018  14211 :7.28080080568865018  
14453 :3.09335612048707542  14692 :6.33381145664845757  14451 :5.90014343699453736  14212 :0.36866359447004610  
14454 :9.36887722403637824  14693 :4.42182683797723275  14452 :0.28748435926389354  14213 :3.06802575762199758  
14455 :8.23511459700308279  14694 :3.27890865810113841  14453 :8.30530716879787612  14214 :2.37708670308542125  
14456 :8.83693960386974631  14695 :0.04638813440351573  14454 :9.80376598406933830  14215 :9.91973632007812789  
14457 :7.77459028901028493  14696 :5.51408429212317230  14455 :5.64256721701712127  14216 :8.43226416821802438  
14458 :5.88305307168797853  14697 :5.03250221259193697  14456 :1.19846186712240965  14217 :2.49641407513657043  
14459 :2.29529709768974888  14698 :7.57560960722678267  14457 :5.43565172276985997  14218 :2.56630146183660379  
14460 :8.60469374675740895  14699 :4.50270088808862567  14458 :0.86092715231788075  14219 :6.36158330027161512  
14461 :0.93325601977599415  14700 :4.59700308236945698  14459 :4.66628009887997042  14220 :6.68538468581194500  
14462 :2.73110141300698883  14701 :6.93105868709372253  14460 :6.37684255500961328  14221 :9.73326822717978501  
14463 :6.10126041444135847  14702 :8.12921536912137199  14461 :2.31452375865962701  14222 :2.94869838557084885  
14464 :4.47798089541306776  14703 :5.58732871486556615  14462 :2.19306009094515808  14223 :6.49586474196600250  
14465 :4.46546830652790927  14704 :3.21054719687490442  14463 :8.14905240028076960  14224 :7.40501113925595877  
14466 :9.64568010498367201  14705 :1.23386333811456650  14464 :1.53294473097933892  14225 :0.45747245704519790  
14467 :4.17401654103213637  14706 :6.68752098147526475  14465 :7.76360362559892536  14226 :4.87289040803247175  
14468 :8.97244178594317532  14707 :6.06860560930204151  14466 :4.55946531571398062  14227 :0.85634937589648119  
14469 :8.33155308694723296  14708 :6.78395947141941580  14467 :3.86761070589312439  14228 :5.07522812585833272  
14470 :9.73662526322214461  14709 :8.92239143040253957  14468 :2.78878139591662322  14229 :9.12015137180700108  
14471 :4.72701193273720488  14710 :3.92315439313943903  14469 :3.82549516281624813  14230 :0.02044740134891812  
14472 :3.60637226477858830  14711 :1.70232245857112341  14470 :9.75524155400250237  14231 :6.87185277871028788  
14473 :1.80944242683187362  14712 :2.79641102328562274  14471 :3.44523453474532282  14232 :2.63679921872615752  
14474 :0.74343089083529157  14713 :7.08944975127414789  14472 :7.92474135563219129  14233 :5.18967253639332249  
14475 :0.91494491409039580  14714 :5.68468276009399709  14473 :7.01742606891079479  14234 :6.65456099124118783  
14476 :0.15259254737998595  14715 :7.48252815332499122  14474 :1.85949278237250892  14235 :5.11398663289284983  
14477 :4.74318674275948382  14716 :7.02841273232215347  14475 :3.60393078402050859  14236 :7.73827326273384841  
14478 :6.28528702658162164  14717 :5.19302957243568208  14476 :7.63206884975737765  14237 :9.40549943540757383  
14479 :2.08349864192632817  14718 :9.24710837122714935  14477 :9.57823419904171836  14238 :5.87054048280282004  
14480 :1.88818018127994636  14719 :3.89172032837916193  14478 :8.48811304055909943  14239 :5.55101168858912963  
14481 :8.79329813531907156  14720 :9.81078524124881746  14479 :7.41294595171971782  14240 :8.98434400463881389  
14482 :7.10898159733878554  14721 :1.30283516953032019  14480 :6.76198614459669756  14241 :0.02502517777031770  
14483 :5.02090517899105837  14722 :9.56022827845088052  14481 :0.71932126834925381  14242 :7.84569841608935814  
14484 :4.84359263893551439  14723 :3.15073091830195029  14482 :2.04046754356517246  14243 :3.79467146824549095  
14485 :8.68617816705832091  14724 :2.27546006653035082  14483 :5.53849909970397025  14244 :2.18665120395519885  
14486 :2.34076967680898473  14725 :8.35322122867519212  14484 :5.57634205145420658  14245 :9.07773064363536442  
14487 :5.20493179113132154  14726 :5.49974059266945403  14485 :7.87591174047059539  14246 :8.08923612170781503  
14488 :9.05301065095980739  14727 :5.46861171300393689  14486 :0.95248268074587239  14247 :7.35129856257820347  
14489 :3.46568193609424124  14728 :2.60567033906064038  14487 :7.49534592730491056  14248 :6.61549729911191164  
14490 :0.73610644856105223  14729 :0.39033173619800410  14488 :0.99673451948606828  14249 :8.60957670827356836  
14491 :8.05658131656849896  14730 :6.11835077974791730  14489 :7.95434430982390861  14250 :3.69243446150090016  
14492 :9.80468153935361819  14731 :5.29282509842219273  14490 :0.94485305337687309  14251 :1.87139500106814793  
14493 :7.74132511368144804  14732 :2.28431043427838976  14491 :2.89559617908261346  14252 :1.24546037171544532  
14494 :1.92907498397778254  14733 :8.82503738517410774  14492 :7.85546433912167696  14253 :6.93838312936796164  
14495 :0.18677327799310281  14734 :6.89321573534348619  14493 :8.58455153050324959  14254 :9.57945493942075821  
14496 :8.89126255073702154  14735 :7.55851924192022473  14494 :6.27307962279122311  14255 :7.40134891811883922  
14497 :2.93893246253852958  14736 :2.34595782341990411  14495 :2.69905697805719180  14256 :1.01107821893978689  
14498 :7.68272957548753332  14737 :8.68068483535264157  14496 :0.14343699453718681  14257 :4.90005188146610937  
14499 :0.64943388164922022  14738 :5.97766045106356980  14497 :9.36887722403637824  14258 :4.75447859126560246  
14500 :5.85894344920194055  14739 :3.93993957335123746  14498 :0.97750785851619004  14259 :4.63026825769829387  
14501 :8.55159154026917356  14740 :9.62553788872951444  14499 :0.46327097384563737  14260 :3.05154576250495913  
14502 :23.13882869960631083  14741 :24.84359263893551528  14500 :22.26386303292947133  14261 :22.10089419232764740  
14503 :22.18817712942900044  14742 :20.45045319986571997  14501 :23.13211462752159164  14262 :28.55616931669057124  
14504 :29.25778984954374806  14743 :29.09970397045808355  14502 :20.13458662678914735  14263 :21.14291817987609434  
14505 :23.38755455183568799  14744 :23.00851466414380297  14503 :23.59324930570391032  14264 :22.96487319559312823  
14506 :28.06817835016937579  14745 :28.31446272164067324  14504 :20.27863399151585355  14265 :23.16660054322946749  
14507 :22.48970000305185124  14746 :22.56752220221564187  14505 :27.17246009704886234  14266 :26.90328684347056409  
14508 :27.89178136539811348  14747 :26.93716238898892357  14506 :21.10568559831537883  14267 :27.66899624622333320  
14509 :26.82271797845393024  14748 :29.68199713126011119  14507 :24.59181493575853850  14268 :21.05471968749046141  
14510 :28.12067018646809302  14749 :22.45582445753349532  14508 :23.16019165623950826  14269 :23.99212622455519295  
14511 :25.43046357615894237  14750 :26.00909451582384690  14509 :24.50972014526810483  14270 :28.54762413403729227  
14512 :22.06884975737784771  14751 :26.84194463942381148  14510 :24.78652302621539860  14271 :24.33118686483352278  
14513 :20.04821924497207419  14752 :21.38279366435743256  14511 :22.30903042695394589  14272 :28.58302560502944800  
14514 :26.07470931119723900  14753 :29.24558244575334953  14512 :24.04156620990630699  14273 :27.99218726157414494  
14515 :22.32947782830286698  14754 :22.13141270180364373  14513 :25.13718070009460703  14274 :21.32236701559495984  
14516 :24.85091708120975440  14755 :29.94079409161656713  14514 :26.85903500473036942  14275 :26.89840388195440468  
14517 :27.32261116367076426  14756 :20.64943388164921956  14515 :23.19345683156834781  14276 :24.01745658742026990  
14518 :23.08755760368663701  14757 :25.52232428968169131  14516 :21.46458326975310626  14277 :22.35053559984130445  
14519 :23.19681386761070740  14758 :26.21723075045014895  14517 :27.27011932737205058  14278 :28.39381084627826723  
14520 :23.30332346568193458  14759 :25.34897915585802863  14518 :29.03958250679036723  14279 :23.03262428662984007  
14521 :27.22006897183141660  14760 :27.07113864558854743  14519 :22.54036072878200514  14280 :29.28373058259834494  
14522 :29.94659260841700643  14761 :29.24008911404767019  14520 :20.63325907162694151  14281 :24.27106540116580646  
14523 :27.98394726401562593  14762 :23.72417371135593811  14521 :28.59736930448316983  14282 :24.50880458998382494  
14524 :29.74669637134922340  14763 :26.41987365337076810  14522 :20.32990508743553093  14283 :28.54152043214209300  
14525 :23.88164922025208270  14764 :23.53679006317331357  14523 :25.74327829828791181  14284 :26.01397747734000632  
14526 :28.31629383220923302  14765 :25.71459089938047526  14524 :24.66017639698477026  14285 :27.22739341410565572  
14527 :27.83379619739372046  14766 :26.53645435956907761  14525 :27.52922147282326648  14286 :22.24768822290719328  
14528 :23.00302133243812364  14767 :26.99575792718283651  14526 :28.26715903195287893  14287 :23.62651448103274632  
14529 :28.26502273628955919  14768 :22.48756370738853150  14527 :29.54344309823908077  14288 :21.79754020813623328  
14530 :21.99102755821405708  14769 :23.87646107364116332  14528 :25.81865901669362273  14289 :27.21152378917813763  
14531 :26.33045442060609886  14770 :29.21323282570879343  14529 :24.44990386669515203  14290 :28.27173680837427838  
14532 :29.65147862178411131  14771 :27.65648365733817471  14530 :20.17303994872890271  14291 :29.13418988616595939  
14533 :29.39359721671193526  14772 :22.16437269203771976  14531 :23.27890865810113752  14292 :26.43147068697165025  
14534 :28.14447462385937015  14773 :22.51808221686452782  14532 :26.79219946897793392  14293 :28.98617511520737366  
14535 :20.74983977782525102  14774 :25.24033326212347816  14533 :22.96517838068788819  14294 :29.57487716299935698  
14536 :25.27207251197851434  14775 :21.97058015686513954  14534 :24.40534684286019385  14295 :22.80495620593890038  
14537 :25.60716574602496465  14776 :22.85958433790093736  14535 :20.13672292245246709  14296 :28.16888943144017077  
14538 :28.57814264351328859  14777 :26.54622028260139643  14536 :21.92388683736686161  14297 :22.33283486434522658  
14539 :23.30881679738761392  14778 :23.27890865810113752  14537 :21.15451521347697295  14298 :29.73265785699026509  
14540 :25.70055238502151695  14779 :22.74483474227118762  14538 :21.60588396862697280  14299 :25.52446058534501105  
14541 :25.81286049989318343  14780 :23.16568498794518760  14539 :28.40113528855250635  14300 :29.97009186071352360  
14542 :20.97293008209479126  14781 :23.23007904293954340  14540 :28.46827600939970182  14301 :28.30347605822931456  
14543 :22.41645558030945651  14782 :23.41593676564836457  14541 :22.81899472029785869  14302 :25.15274513992736516  
14544 :28.27631458479567783  14783 :28.27417828913235809  14542 :25.95263527329325370  14303 :27.57225257118442130  
14545 :20.73335978270821300  14784 :26.22669148838770781  14543 :22.70241401409955273  14304 :25.75273903622547067  
14546 :20.13916440321054679  14785 :28.45271156956694369  14544 :27.83867915890987987  14305 :25.46830652790917782  
14547 :23.92193365276039785  14786 :23.41410565507980479  14545 :28.73348185674611699  14306 :21.32511368144779951  
14548 :23.09213538010803646  14787 :28.59157078768272697  14546 :26.40827661976988949  14307 :24.87289040803247175  
14549 :24.15845210119937647  14788 :25.98651081881160962  14547 :25.27115695669423445  14308 :26.64174321726126848  
14550 :29.26602984710226707  14789 :22.95999023407696882  14548 :26.85934018982512939  14309 :26.16809595019379131  
14551 :2.36701559495834202  14790 :4.96200445570238369  14549 :7.89391766106143411  14310 :9.07223731192968508  
14552 :4.24512466811120959  14791 :1.71849726859340191  14550 :7.97021393475142670  14311 :5.24521622363963758  
14553 :4.19354838709677402  14792 :3.44065675832392337  14551 :7.18405713064973916  14312 :7.21823786126285594  
14554 :1.16977446821497244  14793 :8.61201818903164806  14552 :9.01425214392529028  14313 :2.76253547776726593  
14555 :2.23426007873775445  14794 :9.92400891140476737  14553 :8.77040925321207254  14314 :0.79653309732352673  
14556 :1.08615375225074007  14795 :9.91576891384624837  14554 :2.92184209723197119  14315 :4.65285195471053203  
14557 :4.51094088564714468  14796 :2.88491470076601475  14555 :9.61546678060243565  14316 :1.77098910489211714  
14558 :9.54863124485000192  14797 :4.63087862788781379  14556 :5.69780571916867551  14317 :3.88134403515732274  
14559 :9.19797357097079349  14798 :6.58986175115207384  14557 :0.55482650227362895  14318 :6.73543504135258075  
14560 :9.47019867549668959  14799 :5.93035676137577461  14558 :2.08136234626300842  14319 :3.45347453230384227  
14561 :5.59892574846644475  14800 :8.16644795068208929  14559 :5.08774071474349210  14320 :0.54597613452558980  
14562 :0.22644734031189917  14801 :3.85296182134464571  14560 :7.46452223273415338  14321 :0.67293313394573806  
14563 :1.37333292641987370  14802 :5.92577898495437516  14561 :4.41297647022919381  14322 :1.20548112430188903  
14564 :3.00546281319620334  14803 :9.24954985198522905  14562 :6.05243079927976346  14323 :2.64961699270607642  
14565 :6.01306192205572643  14804 :8.93246253852961836  14563 :8.72096926786095850  14324 :5.99566637165440852  
14566 :2.40913113803521828  14805 :8.97732474745933473  14564 :5.27909176915799438  14325 :3.05642872402111898  
14567 :0.56764427625354774  14806 :7.82341990417187994  14565 :4.73128452406384437  14326 :8.85799737540818555  
14568 :4.30524613177892412  14807 :2.34687337870418400  14566 :6.47267067476424440  14327 :0.13855403302102726  
14569 :3.62407300027466661  14808 :6.88100833155308678  14567 :9.48240607928708812  14328 :9.02981658375804841  
14570 :9.92950224311044671  14809 :8.81649220252082877  14568 :1.76641132847071747  14329 :5.97003082369457072  
14571 :3.52916043580431538  14810 :7.35007782219916361  14569 :0.37018951994384597  14330 :0.92379528183843496  
14572 :6.23554185613574674  14811 :6.93655201879940186  14570 :7.26645710623493191  14331 :6.96188238166447970  
14573 :6.87032685323648806  14812 :2.01116977446821510  14571 :1.43742179631946776  14332 :5.26474806970427522  
14574 :2.49885555589465014  14813 :4.54634235663930131  14572 :2.46162297433393373  14333 :5.62059389019440303  
14575 :3.19772942289498596  14814 :0.99887081514938814  14573 :5.91296121097445582  14334 :1.46794030579546497  
14576 :3.16690572832422879  14815 :0.21881771294289987  14574 :5.89220862453077832  14335 :3.55510116885891314  
14577 :6.00543229468672735  14816 :8.87356181524094367  14575 :4.99954222235786006  14336 :1.27475814081240268  
14578 :6.95974608600115996  14817 :5.95629749443037237  14576 :7.05984679708243057  14337 :5.73564867091891273  
14579 :9.95452742088076370  14818 :2.93954283272804950  14577 :2.91451765495773207  14338 :3.63567003387554566  
14580 :2.22357860042115529  14819 :1.13376262703329567  14578 :4.59395123142185735  14339 :5.99963377788628804  
14581 :4.35071871089815954  14820 :2.81807916501358058  14579 :8.17835016937772785  14340 :0.84078493606372262  
14582 :8.53144932401501599  14821 :7.69829401532029145  14580 :0.66560869167149872  14341 :3.81176183355204934  
14583 :2.87179174169133589  14822 :1.26590777306436353  14581 :1.15329447309793398  14342 :5.90533158360545674  
14584 :4.53413495284890278  14823 :6.60939359721671238  14582 :1.65074617755668807  14343 :2.27027191991943100  
14585 :9.54283272804956262  14824 :6.24652851954710542  14583 :7.83288064210943968  14344 :1.20029297769096965  
14586 :2.06274605548265022  14825 :5.53819391460921029  14584 :5.04501480147709547  14345 :7.36533707693716266  
14587 :0.96346934415723140  14826 :4.24909207434308911  14585 :9.88036744285409085  14346 :8.33735160374767226  
14588 :6.48030030213324348  14827 :7.81121250038148141  14586 :2.62733848078859822  14347 :8.48658711508529962  
14589 :4.78530228583635964  14828 :4.86068300424207322  14587 :0.91799676503799554  14348 :9.29868465224158491  
14590 :3.28196050904873804  14829 :2.60505996887112046  14588 :9.87395855586413163  14349 :0.18158513138218330  
14591 :4.43556016724143198  14830 :6.58528397473067439  14589 :9.06826990569780556  14350 :8.82351145970030792  
14592 :0.94821008941923279  14831 :6.39362773522141214  14590 :1.62236396374401082  14351 :5.16281624805444483  
14593 :0.09765923032319102  14832 :3.91399884029663969  14591 :5.73870052186651236  14352 :8.03735465559862128  
14594 :0.04547257911923581  14833 :5.64134647663808142  14592 :3.98724326303903309  14353 :8.56624042481765180  
14595 :5.93462935270241410  14834 :5.64653462324900079  14593 :0.66377758110293894  14354 :9.33805352946562017  
14596 :8.57844782860805033  14835 :0.74953459273049106  14594 :2.52113406781212790  14355 :3.45805230872524172  
14597 :3.56669820245979174  14836 :4.46028015991698989  14595 :3.19467757194738589  14356 :2.52540665913876783  
14598 :3.58958708456678988  14837 :1.25186925870540477  14596 :6.63167210913418970  14357 :7.59392071291238135  
14599 :1.79815057832575453  14838 :7.73094882045960841  14597 :9.83611560411389441  14358 :2.18695638904995882  
14600 :9.01394695883053032  14839 :2.25959044160283229  14598 :0.24292733542893766  14359 :1.42521439252906879  
14601 :2.59437849055452130  14840 :9.60386974700155704  14599 :8.03582873012482146  14360 :6.32862331003753820  
14602 :9.77813043610949961  14841 :2.15613269447920164  14600 :8.71303445539719768  14361 :7.35862300485244258  
14603 :3.30668050172429595  14842 :4.31196020386364332  14601 :6.22577593310342703  14362 :6.25904110843226391  
14604 :2.15277565843684204  14843 :1.54332102420117812  14602 :1.99316385387737660  14363 :0.26215399639881587  
14605 :5.15060884426404630  14844 :0.74953459273049106  14603 :0.10803552354503006  14364 :7.72057252723776966  
14606 :0.35462508011108740  14845 :3.43607898190252392  14604 :4.04705954161198811  14365 :9.22452467421491207  
14607 :7.93115024262215051  14846 :8.28974272896511799  14605 :5.19699697866756161  14366 :3.27402569658497899  
14608 :9.39695425275429486  14847 :4.70839564195684712  14606 :8.51130710776085664  14367 :0.56123538926358840  
14609 :1.01992858668782627  14848 :3.85448774681844553  14607 :5.60594500564592391  14368 :5.93066194647053457  
14610 :4.19171727652821424  14849 :8.78719443342387230  14608 :0.61067537461470378  14369 :2.07495345927304919  
14611 :0.58290353099154635  14850 :0.23834955900753807  14609 :9.08719138157292328  14370 :4.03485213782158869  
14612 :4.90157780693990919  14851 :9.59990234076967752  14610 :5.32273323770867002  14371 :8.55983153782769257  
14613 :3.05520798364207913  14852 :5.67522202215643823  14611 :8.32087160863063424  14372 :7.39646595660267980  
14614 :8.54091006195257485  14853 :6.76778466139713775  14612 :1.79052095095675523  14373 :8.56288338877529220  
14615 :4.86739707632679242  14854 :4.65987121189001119  14613 :8.45484786523026166  14374 :4.67513046662801024  
14616 :6.82668538468581154  14855 :2.05206457716605106  14614 :3.98785363322855302  14375 :2.38868373668630030  
14617 :8.42402417065950537  14856 :0.01892147587511826  14615 :0.89236121707815785  14376 :2.01178014465773503  
14618 :0.28138065736869411  14857 :7.04977568895535178  14616 :7.63298440504165754  14377 :1.36020996734519484  
14619 :4.32844019898068222  14858 :6.23065889461958644  14617 :3.33262123477889327  14378 :2.91177098910489196  
14620 :8.58516190069276952  14859 :2.13751640369884344  14618 :3.35215308084353181  14379 :8.32422864467299384  
14621 :9.86083559678945321  14860 :3.99487289040803262  14619 :6.05822931608020276  14380 :9.37803277687917713  
14622 :7.17368083742790041  14861 :6.66859950560014614  14620 :6.09485152745139924  14381 :9.40977202673421509  
14623 :3.70311593981749931  14862 :6.05365153965880332  14621 :4.47492904446546813  14382 :4.29303872798852471  
14624 :0.09399700918607136  14863 :0.41657765434736166  14622 :0.79653309732352673  14383 :7.03634754478591251  
14625 :6.91732535782952329  14864 :4.26160466322824760  14623 :7.90215765861995312  14384 :5.05294961394085540  
14626 :9.10489211706900292  14865 :6.27277443769646315  14624 :4.29334391308328467  14385 :4.17188024536881663  
14627 :0.16968291268654440  14866 :7.90673543504135257  14625 :4.60951567125461636  14386 :8.44935453352458232  
14628 :9.02584917752616889  14867 :4.18866542558061461  14626 :3.48643452253791919  14387 :9.84038819544053389  
14629 :7.21091341898861682  14868 :3.27921384319589837  14627 :3.10739463484603418  14388 :6.80196539201025452  
14630 :9.34202093569749970  14869 :6.37379070406201365  14628 :9.75585192419202230  14389 :5.87878048036133904  
14631 :4.59791863765373687  14870 :4.49415570543534670  14629 :9.68596453749198893  14390 :5.34287545396282848  
14632 :2.05389568773461084  14871 :3.74034852137821572  14630 :9.62340159306619469  14391 :4.94582964568010475  
14633 :7.67509994811853424  14872 :5.55925168614764864  14631 :2.20343638416699728  14392 :0.84719382305368207  
14634 :5.78081606494338818  14873 :3.59721671193578896  14632 :1.66875209814752656  14393 :9.78026673177281936  
14635 :2.79763176366466260  14874 :3.69609668263802016  14633 :0.12695699942014832  14394 :1.51829584643086024  
14636 :6.10889004181035755  14875 :8.59736930448316983  14634 :9.69298379467146809  14395 :3.70708334604937884  
14637 :5.81041901913510550  14876 :3.91216772972807991  14635 :0.81881160924100471  14396 :8.11853389080477328  
14638 :2.19611194189275816  14877 :6.93105868709372253  14636 :2.13049714651936384  14397 :2.39661854915005934  
14639 :6.77205725272377723  14878 :4.81856746116519652  14637 :2.07800531022064883  14398 :6.35273293252357529  
14879 :9.62279122287667477  14638 :3.77300332651753267  14399 :7.71660512100589013  
14641 :6.87215796380504784  14880 :0.93356120487075411  14400 :5.70116275521103510  
14642 :0.92806787316507466  14881 :0.50111392559587387  14640 :9.49186681722464698  14401 :3.97686696981719434  
14643 :7.39829706717123958  14882 :7.76757103183080577  14641 :5.96453749198889138  14402 :4.84237189855647454  
14644 :8.65718558305612440  14883 :8.30378124332407630  14642 :3.78215887936033202  14403 :6.02008117923520647  
14645 :2.50068666646320992  14884 :0.83468123416852325  14643 :5.42802209540086089  14404 :9.08932767723624302  
14646 :2.10486159855952648  14885 :7.08944975127414789  14644 :6.94998016296884025  14405 :7.19962157048249729  
14647 :9.14029358806115866  14886 :3.70189519943845946  14645 :8.50978118228705682  14406 :4.67513046662801024  
14648 :1.20456556901760914  14887 :1.16245002594073310  14646 :3.77849665822321246  14407 :0.07782219916379284  
14649 :8.88760032959990198  14888 :3.88195440534684266  14647 :5.99291970580156885  14408 :9.29013946958830594  
14650 :2.76985992004150505  14889 :0.43305764946440017  14648 :3.48216193121127970  14409 :0.17761772515030366  
14651 :5.68376720480971720  14890 :8.02880947294534053  14649 :2.48451185644093142  14410 :5.40025025177770335  
14652 :0.53407391582995090  14891 :0.30152287362285224  14650 :0.05615405743583483  14411 :4.92629779961546710  
14653 :9.00326548051393161  14892 :2.44636371959593513  14651 :4.89394817957091011  14412 :4.81856746116519652  
14654 :1.44108401745658732  14893 :2.78969695120090355  14652 :8.87936033204138297  14413 :3.85235145115512578  
14655 :3.26731162450025936  14894 :4.84603411969359410  14653 :7.15720084231086151  14414 :4.52589495529038377  
14656 :8.18170720542008745  14895 :8.92574846644489917  14654 :9.56389049958800008  14415 :0.03082369457075717  
14657 :3.50962858973967728  14896 :7.35465559862056306  14655 :1.21402630695516822  14416 :3.74004333628345575  
14658 :7.98486281929990582  14897 :2.37372966704306165  14656 :5.05966368602557459  14417 :2.77840510269478447  
14659 :7.28904080324716919  14898 :0.77150791955320908  14657 :4.23596911526841069  14418 :2.23731192968535408  
14660 :7.65556810205389571  14899 :4.32111575670644221  14658 :7.00369273964659556  14419 :1.59764397106845291  
14661 :2.85409100619525757  14900 :0.07782219916379284  14659 :2.10150456251716644  14420 :9.92126224555192771  
14662 :4.86465041047395275  14901 :9.60692159794915668  14660 :7.32230597857600607  14421 :1.37394329660939363  
14663 :3.55723746452223288  14902 :1.19266335032197035  14661 :9.12259285256508079  14422 :7.64458143864253703  
14664 :5.68712424085207680  14903 :4.10687582018494179  14662 :6.08233893856624075  14423 :8.81984923856318836  
14665 :8.51893673512985572  14904 :8.98220770897549414  14663 :4.02172917874691027  14424 :9.27884762108218553  
14666 :8.39228492080446742  14905 :3.36680196539201004  14664 :5.59343241676076541  14425 :0.16998809778130436  
14667 :9.54100161748100284  14906 :6.51631214331492092  14665 :2.15826899014252138  14426 :5.03372295297097683  
14668 :3.48033082064271992  14907 :2.48359630115665153  14666 :0.75960570085757007  14427 :0.12848292489394819  
14669 :4.27137058626056731  14908 :5.57756279183324644  14667 :4.00616473891415126  14428 :6.03015228736228526  
14670 :9.97589037751396290  14909 :7.23990600299081422  14668 :5.67979979857783768  14429 :2.06152531510361037  
14671 :5.61845759453108329  14910 :8.41822565385906607  14669 :9.87762077700125118  14430 :0.11719107638782922  
14672 :7.96197393719290769  14911 :6.48457289345988386  14670 :6.50013733329264198  14431 :9.44456312753685090  
14673 :7.41416669209875767  14912 :0.76876125370036930  14671 :0.90243232520523697  14432 :8.94497512741477685  
14674 :7.37296670430616174  14913 :5.76799829096346972  14672 :0.51576281014435255  14433 :8.55647450178533298  
14675 :6.32862331003753820  14914 :6.09485152745139924  14673 :6.25446333201086446  14434 :6.28254036072878197  
14676 :3.03079317606128118  14915 :2.22388378551591526  14674 :1.52165288247322006  14435 :2.42561113315225674  
14677 :0.03448591570787683  14916 :1.10538041322061820  14675 :6.62587359233375039  14436 :7.59178441724906161  
14678 :5.93707083346049380  14917 :0.70131534775841553  14676 :1.41544846949674974  14437 :6.02557451094088581  
14679 :1.62053285317545082  14918 :2.51106295968504911  14677 :3.95550401318399603  14438 :0.84322641682180244  
14680 :0.80904568620868555  14919 :1.14871669667653431  14678 :8.04681539353618014  14439 :2.71858882412182989  
14681 :0.25574510940885647  14920 :5.03128147221289712  14679 :7.40623187963499863  14440 :8.59096041749320882  
14682 :9.87090670491653199  14921 :7.24600970488601348  14680 :9.32126834925382219  14441 :1.95318460646382031  
14683 :8.10388500625629504  14922 :0.65218054750206000  14681 :5.58885464033936596  14442 :1.28849147007660148  
14684 :2.89132358775597398  14923 :6.28803369243446131  14682 :3.55052339243751325  14443 :8.20825830866420425  
14685 :3.48582415234839926  14924 :9.13510544145023928  14683 :5.04104739524521595  14444 :1.86346018860438867  
14686 :3.47361674855800029  14925 :0.31586657307657096  14684 :6.05487228003784317  14445 :1.18778038880581072  
14687 :0.29694509720145268  14926 :9.77294228949858024  14685 :4.95315408795434475  14446 :1.53386028626361881  
14688 :1.59428693502609331  14927 :8.50245674001281770  14686 :2.01330607013153484  14447 :7.26767784661397176  
14689 :3.66801965392010265  14928 :4.39954832605975543  14687 :8.14416943876461019  14448 :6.88131351664784674  
14690 :2.39265114291817982  14929 :0.78157902768028809  14688 :5.56688131351664772  14449 :2.18970305490279848  
14691 :1.88024536881618709  14930 :1.64647358623004858  14689 :8.28913235877559806  14450 :8.16980498672444888  
14692 :1.20853297524948888  14931 :2.73476363414410839  14690 :5.16891994994964410  14451 :5.00808740501113903  
14693 :4.53047273171178322  14932 :2.45216223639637443  14691 :3.39518417920468751  14452 :8.91689809869686023  
14694 :4.87319559312723172  14933 :1.72093874935148161  14692 :5.18692587054048282  14453 :3.28348643452253786  
14695 :6.94326609088412106  14934 :6.81722464674825268  14693 :5.52873317667165143  14454 :6.71315652943510255  
14696 :9.24649800103762942  14935 :4.26038392284920775  14694 :3.75438703573717447  14455 :9.52940458388012246  
14697 :0.83651234473708302  14936 :1.81493575853755296  14695 :6.79067354350413499  14456 :5.29343546861171266  
14698 :3.00729392376476312  14937 :4.66841639454329016  14696 :6.87276833399456777  14457 :8.90652180547502148  
14699 :1.23508407849360635  14938 :0.84749900814844203  14697 :1.54484694967497793  14458 :7.85637989440595685  
14700 :7.69249549851985215  14939 :4.93636890774254589  14698 :8.76186407055879357  14459 :8.16919461653492895  
14701 :9.63530381176183326  14940 :4.15478988006225780  14699 :4.89364299447615014  14460 :1.63457136753440957  
14702 :3.98541215247047331  14941 :5.86596270638142059  14700 :8.46186712240974082  14461 :5.85985900448622132  
14703 :3.41685232093264579  14942 :0.57039094210638752  14701 :7.40348521378215896  14462 :3.71715445417645807  
14704 :4.25519577623828837  14943 :9.45158238471633005  14702 :2.68593401898251294  14463 :3.75408185064241451  
14705 :1.50975066377758105  14944 :0.53224280526139101  14703 :6.08294930875576068  14464 :8.11639759514145354  
14706 :1.34556108279671616  14945 :2.51197851496932900  14704 :4.92049928281502691  14465 :9.55748161259804085  
14707 :6.30756553849909984  14946 :0.33753471480452896  14705 :1.60924100466933195  14466 :4.09039582506790378  
14708 :3.61461226233710731  14947 :1.57628101443525503  14706 :0.77669606616412856  14467 :0.84841456343272192  
14709 :1.82988982818079160  14948 :7.65343180639057596  14707 :1.80425428022095402  14468 :5.71337015900143452  
14710 :6.22333445234534732  14949 :9.01333658864101039  14708 :9.59349345377971652  14469 :0.27649769585253459  
14711 :8.13837092196417089  14950 :8.27143162327951842  14709 :1.36082033753471476  14470 :2.69508957182531184  
14712 :8.67458113345744231  14951 :0.41474654377880182  14710 :2.28705710013122943  14471 :2.00506607257301539  
14713 :1.99926755577257609  14952 :4.11816766869106132  14711 :7.82006286812952034  14472 :2.45216223639637443  
14714 :8.60194708090456928  14953 :3.23160496841334277  14712 :5.45487838373973855  14473 :9.40824610126041527  
